id,code,parent_id/id,name,user_type_id/id,chart_template_id/id,reconcile
petrogas_coa_521001,521001,petrogas_coa_52,Routine Retail Maintanance,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521002,521002,petrogas_coa_52,Cash power,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521003,521003,petrogas_coa_52,Electricity,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521004,521004,petrogas_coa_52,Water,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521005,521005,petrogas_coa_52,Telecomms - Voice - fixed lin,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521006,521006,petrogas_coa_52,Telecomms - Voice - mobile ph,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521007,521007,petrogas_coa_52,Cleaning,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521008,521008,petrogas_coa_52,Security,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521009,521009,petrogas_coa_52,"Travel, Allowances, Accomodation Otherl",account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521010,521010,petrogas_coa_52,Generator Fuel Expenses,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521011,521011,petrogas_coa_52,Stationery ,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521012,521012,petrogas_coa_52,Licenses,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521013,521013,petrogas_coa_52,Repairs & Maintenance,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521014,521014,petrogas_coa_52,Fire Fighting Equipment,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521015,521015,petrogas_coa_52,"Safety Equipment, Shoes & Others",account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521016,521016,petrogas_coa_52,Uniforms ,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521017,521017,petrogas_coa_52,IT & Technical Services,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521018,521018,petrogas_coa_52,Internet Services,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521019,521019,petrogas_coa_52,Other Operating Expenses,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_521020,521020,petrogas_coa_52,Throughput Charges,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_53,53,petrogas_coa_5,Transportation Expense,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_sale_transport,530001,petrogas_coa_53,Sale Transport,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_transfert_tranport,530002,petrogas_coa_53,Transfert Tranport,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_purchase_transport,530003,petrogas_coa_53,Purchase Transport,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_54,54,petrogas_coa_5,Depreciation And Amortisation,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_55,55,petrogas_coa_5,Rental Expense,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_56,56,petrogas_coa_5,Tax Other Than Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_price_structure_taxes,561,petrogas_coa_56,Price Structure Taxes,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_value_added_tax,561001,coa_oil_product_price_structure_taxes,Value Added Tax,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_depot_throughput,561002,coa_oil_product_price_structure_taxes,Depot Throughput,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_depot_throughput_-_re-export,561003,coa_oil_product_price_structure_taxes,Depot Throughput - Re-export,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_duty,561004,coa_oil_product_price_structure_taxes,Duty,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_excise_tax,561005,coa_oil_product_price_structure_taxes,Excise Tax,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_57,57,petrogas_coa_5,Other Expense By Nature,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_58,58,petrogas_coa_5,Changes In Inventories,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
product_oil_loss,581,petrogas_coa_58,Oil Product Gain And Loss,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_ago,581001,product_oil_loss,GASOIL,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_pms,581002,product_oil_loss,SUPER,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_premix,581003,product_oil_loss,PREMIX,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_fioul,581004,product_oil_loss,FIOUL,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_kero,581005,product_oil_loss,KEROZINE,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_avgas,581006,product_oil_loss,AVGAS,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_lpg_bulk,581007,product_oil_loss,Liquid Propane Gas (LPG) Bulk,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_lpg_6kg,581008,product_oil_loss,Liquid Propane Gas (LPG) 6 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_lpg_12kg,581009,product_oil_loss,Liquid Propane Gas (LPG) 12.5 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_loss_lpg_25kg,581010,product_oil_loss,Liquid Propane Gas (LPG) 25 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_6,6,coa_profit_loss,Non-operating  income and expense,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_61,61,petrogas_coa_6,Other revenue,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_611,611,petrogas_coa_61,Finance Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_612,612,petrogas_coa_61,Interest Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_613,613,petrogas_coa_61,Dividends,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_614,614,petrogas_coa_61,Royalties,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_615,615,petrogas_coa_61,Licensees,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_616,616,petrogas_coa_61,Rental Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_617,617,petrogas_coa_61,Contractual Fines And Penalties,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_618,618,petrogas_coa_61,Income From Government Grants,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_619,619,petrogas_coa_61,Property Service Charge Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_6110,6110,petrogas_coa_61,Income From Reimbursements Under Insurance Policies,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_6111,6111,petrogas_coa_61,Other Revenue,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
